committees_nov8.com_nam,committees_nov8.com_id,filings_nov8.can_id
HALL FOR CONGRESS EXPLORATORY COMMITTEE,C00497859,H2CA35100
HALLORAN 2012,C00523324,H2NY06157
HALUSZCAK FOR CONGRESS,C00473447,H0PA14104
HANABUSA FOR HAWAII,C00468413,H2HI02110
HARRIMAN FOR CONGRESS,C00506444,H2IL12114
HARTMAN FOR CONGRESS,C00528521,H2IL13138
HASTINGS FOR CONGRESS,C00269837,H2FL23021
HATCH ELECTION COMMITTEE INC,C00104752,S6UT00063
HAYDEN FOR CONGRESS,C00512921,H2CA46107
HAYDEN ROGERS FOR CONGRESS,C00513341,H2NC11114
HEALY-ABRAMS FOR CONGRESS,C00509612,H2OH07167
HEASTER FOR CONGRESS,C00520031,H2WI05259
HEIDI FOR SENATE,C00505552,S2ND00099
HELLER FOR SENATE,C00494229,S2NV00183
HENSLEY FOR CONGRESS,C00510404,H2MO04082
HERB KOHL FOR UNITED STATES SENATE INC,C00203521,S6WI00061
HERB RULE FOR CONGRESS,C00519868,H2AR02053
HERNANDEZ FOR US CONGRESS CAMPAIGN COMMITTEE,C00518308,H2MN04110
HERRON FOR CONGRESS,C00471631,H0TN08253
HIMES FOR CONGRESS,C00434191,H8CT04172
HINCKLEY FOR US SENATE,C00494120,S2RI00071
HIRSCHBIEL FOR CONGRESS,C00499145,H2VA02049
HOEKSTRA FOR SENATE,C00499517,S2MI00193
HOOSIERS FOR RICHARD MOURDOCK INC,C00493288,S2IN00083
"HOOSIERS FOR ROKITA, INC.",C00476192,H0IN04170
HORNING FOR SENATE,C00520163,S2IN00109
HORSFORD FOR CONGRESS,C00504613,H2NV04011
HORTON FOR CONGRESS,C00520874,H2NJ01104
HOWARD STOPECK FOR CONGRESS,C00499061,H2GA05133
HOWELL SENATE CAMPAIGN COMMITTEE,C00517987,S0UT00066
HOYER FOR CONGRESS,C00140715,H2MD05155
HUDSON FOR CONGRESS,C00504522,H2NC08185
HUFFMAN FOR CONGRESS 2012 EXPLORATORY COMMITTEE,C00491746,H2CA06259
HUIZENGA FOR CONGRESS,C00459297,H0MI02094
IMUS FOR CONGRESS,C00498311,H2CA41116
ISSA FOR CONGRESS,C00350520,H0CA48024
ITAMAR GELBMAN FOR CONGRESS,C00495937,H2TX30061
JACK ORSWELL FOR CONGRESS,C00513838,H2CA27198
JACK ROONEY FOR UNITED STATES SENATE COMMITTEE,C00486480,S0IN00186
JACK UPPAL FOR CONGRESS,C00506436,H2CA04114
JACKIE SPEIER FOR CONGRESS,C00443705,H8CA12171
JACOB TURK FOR CONGRESS,C00425983,H6MO05189
JAIME FOR CONGRESS,C00472704,H0WA03187
JAMES HART FOR CONGRESS,C00372722,H2TN08077
JAMES QUIGLEY FOR CONGRESS,C00481036,H0VA03108
JANICE ARNOLD-JONES FOR CONGRESS,C00499012,H2NM01128
JANICE HAHN FOR CONGRESS,C00493023,H8CA36097
JASON KENDALL FOR CONGRESS,C00514679,H2FL07123
JAY CHEN FOR CONGRESS,C00511584,H2CA39136
JEFF DUNCAN FOR CONGRESS,C00460550,H0SC03077
JEFF FLAKE FOR US SENATE INC,C00347260,S2AZ00141
JEFF FORTENBERRY FOR UNITED STATES CONGRESS,C00395467,H4NE01064
JEFF MILLER FOR CONGRESS,C00366757,H2FL01100
JEFF TAYLOR FOR CONGRESS,C00438317,H8CA17089
JEFFERSON LEE BYRD FOR CONGRESS,C00511097,H2NM03157
JEFFRIES FOR CONGRESS,C00503052,H2NY10092
JENNIFER ROBERTS FOR CONGRESS,C00513259,H2NC09076
JENNINGS FOR CONGRESS,C00522375,H2NY05084
JESSE JACKSON JR FOR CONGRESS,C00305920,H6IL02124
JIM COSTA FOR CONGRESS,C00391029,H4CA20082
JIM DOUGHERTY FOR CONGRESS CAMPAIGN,C00517953,H2TX02094
JIM GERLACH FOR CONGRESS COMMITTEE,C00372102,H2PA06114
JIM GRAVES FOR CONGRESS,C00517300,H2MN06198
JIM GREENFIELD FOR CONGRESS,C00500835,H2OR01083
JIM JORDAN FOR CONGRESS,C00416594,H6OH04082
JIM REED FOR CONGRESS,C00502146,H0CA02138
JIM RENACCI FOR CONGRESS,C00466359,H0OH16097
JIM TURNER FOR CONGRESS COMMITTEE,C00308387,H6TX02095
JIMMY TOBIAS FOR CONGRESS,C00506006,H2SC04097
JIMSLONE4CONGRESSCOMMITTEE,C00510321,H2OH04131
JO BONNER FOR CONGRESS COMMITTEE,C00375220,H2AL01077
JOE COORS FOR CONGRESS COMMITTEE,C00507731,H2CO07121
JOE FOR CONGRESS 2012,C00503433,H2OH09114
JOE GALDO FOR CONGRESS,C00507673,H2VA11164
JOE GARCIA FOR CONGRESS,C00521781,H8FL25015
JOE KENNEDY FOR CONGRESS,C00512970,H2MA04073
JOE KYRILLOS FOR US SENATE INC,C00511238,S2NJ00387
JOE MIKLOSI FOR CONGRESS,C00498337,H2CO06123
JOE ROONEY FOR CONGRESS,C00506584,H2PA13110
JOE SELVAGGI FOR CONGRESS,C00512467,H2MA08066
"JOE WALSH FOR CONGRESS COMMITTEE, INC.",C00473579,H0IL08090
JOE WILSON FOR CONGRESS COMMITTEE,C00368522,H2SC02059
JOEL BALAM FOR CONGRESS COMMITTEE,C00483529,H8KS03056
JOEL PHELPS FOR CONGRESS,C00505461,H2IN01123
JOHN CAMPBELL FOR CONGRESS,C00412312,H6CA48039
JOHN CARNEY FOR CONGRESS,C00460899,H0DE01017
JOHN CARTER FOR CONGRESS,C00371203,H2TX31044
JOHN D. DINGELL FOR CONGRESS,C00002600,H6MI16034
JOHN DECKER FOR CONGRESS,C00518449,H2CT01163
JOHN DENNIS FOR CONGRESS 2012,C00515932,H0CA08069
JOHN DOUGLASS FOR CONGRESS,C00496364,H2VA10117
JOHN HERNANDEZ FOR CONGRESS 2012,C00511451,H0CA19082
JOHN HOUSE FOR CONGRESS,C00509950,H2GA02114
JOHN JAY MYERS FOR SENATE,C00525006,S2TX00502
JOHN LEWIS FOR CONGRESS,C00202416,H6GA05217
JOHN MANGELLI FOR US SENATE,C00515619,S2NY00275
JOHN MIGLIETTA FOR CONGRESS,C00450668,H8TN05252
JOHN MURPHY FOR CONGRESS,C00518290,H6PA16288
JOHN TAVAGLIONE FOR CONGRESS,C00498188,H2CA43377
JOHN TIERNEY FOR CONGRESS,C00318196,H4MA06033
JOHN W EWING JR FOR U.S. CONGRESS,C00499558,H2NE02058
JOHNSON FOR CONGRESS,C00476820,H0OH06189
JON BARRIE FOR SENATE,C00506030,S2NM00112
"JON RUNYAN FOR CONGRESS, INC",C00477661,H0NJ03153
JOSE HERNANDEZ FOR CONGRESS,C00502989,H2CA10145
JOSE PEIXOTO FOR US CONGRESS,C00502062,H2FL18054
JOSH CAESAR FOR US CONGRESS,C00507897,H2TX03258
JOSH GILLILAND FOR CONGRESS,C00519827,H2CO04102
JOSUE LAROSE FOR UNITED STATES HOUSE OF REPRESENTATIVES,C00526400,H2LA02099
JOYCE KNOTT FOR CONGRESS,C00519561,H2SC05086
JUDY BIGGERT FOR CONGRESS,C00330241,H8IL13069
JUDY CHU FOR CONGRESS,C00458125,H0CA32101
JULIA BROWNLEY FOR CONGRESS,C00513077,H2CA00120
JUSTIN AMASH FOR CONGRESS,C00476291,H0MI03126
KAINE FOR VIRGINIA,C00495358,S2VA00142
KALLAS FOR CONGRESS,C00516153,H0WI06152
KANSANS FOR HUELSKAMP,C00413096,H6KS01146
KAPTUR FOR CONGRESS,C00154625,H2OH09031
KAREN BASS FOR CONGRESS,C00476523,H0CA33117
"KAREN HARRINGTON FOR CONGRESS, INC.",C00474478,H0FL20070
KAREN RAMSBURG FOR CONGRESS,C00514455,H2PA09084
KAREN4CONGRESS,C00508259,H2WA08158
KATHY HOCHUL FOR CONGRESS,C00494013,H2NY00036
KAY GRANGER CAMPAIGN FUND,C00310532,H6TX12060
KEEP NICK RAHALL IN CONGRESS COMMITTEE,C00081356,H6WV04057
KEITH FITZGERALD FOR CONGRESS,C00505925,H2FL13188
KEN CALVERT FOR CONGRESS COMMITTEE,C00257337,H2CA37023
KENNETH SANDERS FOR CONGRESS CAMPAIGN,C00514489,H2TX33123
KENNETH WADE ADEN 4 CONGRESS,C00502138,H2AR03234
KENNY MARCHANT FOR CONGRESS,C00393348,H4TX24094
KERRY BENTIVOLIO FOR US CONGRESS,C00504035,H2MI11133
KESHA ROGERS FOR CONGRESS,C00471771,H0TX22112
KEVIN MCCARTHY FOR CONGRESS,C00420935,H6CA22125
KILILI FOR CONGRESS,C00469882,H8MP00041
KIM DOLBOW VANN FOR CONGRESS,C00500900,H2CA03090
KIND FOR CONGRESS COMMITTEE,C00312017,H6WI03099
KING FOR CONGRESS,C00373563,H2IA05072
KINZINGER FOR CONGRESS,C00458877,H0IL11052
KIRKPATRICK FOR ARIZONA,C00437293,H8AZ01104
KISSELL FOR CONGRESS,C00433763,H6NC08111
KLAUDER4CONGRESS,C00502484,H2FL04112
KLEIN FOR CONGRESS,C00410522,H6FL22040
KLINE FOR CONGRESS,C00326629,H8MN06047
KLOBUCHAR FOR MINNESOTA,C00410191,S6MN00267
KLOBUCHAR FOR MINNESOTA 2012,C00431353,S6MN00267
KNOLLENBERG FOR CONGRESS COMMITTEE,C00266767,H2MI11042
KNOWLES FOR CONGRESS,C00510560,H2MD03143
KOENEN FOR CONGRESS,C00518639,H2MO02128
KOLB 4 CONGRESS,C00479030,H0FL03100
KOREY REIMAN FOR CONGRESS,C00515825,H2NE01076
KOSTER FOR CONGRESS - 2012,C00498196,H0WA02098
KOVACH FOR CONGRESS INC,C00503946,H2DE00130
KREITLOW FOR CONGRESS,C00496026,H2WI07065
KRISTI FOR CONGRESS,C00476853,H0SD00054
KRISTIN CABRAL FOR CONGRESS,C00519199,H2VA10125
KURT BILLS FOR US SENATE,C00515478,S2MN00266
KURT SCHRADER FOR CONGRESS,C00446906,H8OR05107
"KUSTER FOR CONGRESS, INC.",C00462861,H0NH02181
KYRSTEN SINEMA FOR CONGRESS,C00508804,H2AZ09019
LA FERLA FOR CONGRESS,C00507335,H2MD01154
LAMBORN FOR CONGRESS,C00420745,H6CO05159
LAMPSON FOR CONGRESS,C00508077,H6TX09033
LANCE ENDERLE FOR CONGRESS,C00501734,H0MI08091
LANCE FOR CONGRESS,C00444224,H6NJ12136
LANDRY FOR LOUISIANA,C00472712,H0LA03141
LANGE FOR CONGRESS 2012,C00510529,H0IA01117
LANGEVIN FOR CONGRESS,C00344697,H0RI02139
LARRY MAGGI FOR CONGRESS,C00512483,H2PA18150
LARSON FOR CONGRESS,C00330142,H8CT01046
LATHAM FOR CONGRESS,C00287045,H4IA05102
LATTA FOR CONGRESS,C00438697,H8OH05036
LEE ROGERS FOR CONGRESS,C00499368,H2CA25143
LEE TERRY FOR CONGRESS,C00330811,H8NE02139
"LEE, SHEILA JACKSON",C00287904,H4TX18054
LESSMANN FOR CONGRESS,C00514778,H2PA14084
LEVIN FOR CONGRESS,C00156612,H2MI17023
LINCOLN DAVIS FOR CONGRESS,C00365015,H4TN06051
LINCOLN DIAZ-BALART FOR CONGRESS,C00264028,H2FL19037
LINDA LINGLE SENATE COMMITTEE,C00504159,S2HI00114
LINDA MCMAHON FOR SENATE 2012 INC,C00467100,S0CT00151
LOBIONDO FOR CONGRESS,C00269340,H2NJ02037
LOEBSACK FOR CONGRESS,C00414318,H6IA02146
LOFGREN FOR CONGRESS,C00289603,H4CA16049
LOFTIN FOR CONGRESS 2012,C00517144,H2CA05095
LOIS FRANKEL FOR CONGRESS,C00494856,H2FL14053
LOU BARLETTA FOR CONGRESS,C00376004,H2PA11098
LOU BARLETTA FOR CONGRESS,C00445122,H2PA11098
LOUIE GOHMERT FOR CONGRESS COMMITTEE,C00386532,H4TX04039
LOUISE SLAUGHTER RE-ELECTION COMMITTEE,C00213611,H6NY03031
LUCAS FOR CONGRESS,C00287912,H4OK06056
LUCILLE ROYBAL-ALLARD FOR CONGRESS,C00259143,H2CA33048
LUKE MESSER FOR CONGRESS,C00460667,H0IN02125
LUMMIS FOR CONGRESS,C00443580,H8WY00148
LUNDBERG FOR CONGRESS COMMITTEE,C00511154,H2CO02148
LUNGREN FOR CONGRESS,C00390955,H6CA34112
LYNN JENKINS FOR CONGRESS,C00433730,H8KS02090
MACGOVERN FOR US SENATE,C00515866,S2VT00136
MAGGIE BROOKS FOR CONGRESS,C00516708,H2NY25074
MALONEY FOR CONGRESS,C00273169,H2NY14037
MANCHIN FOR WEST VIRGINIA,C00486563,S0WV00090
MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,C00506832,H2TX33073
MARC VICTOR FOR SENATE COMMITTEE,C00526426,S2AZ00299
MARCIA FUDGE FOR CONGRESS,C00454694,H8OH11141
MARILYN SINGLETON FOR CONGRESS,C00507418,H2CA13099
MARINO FOR CONGRESS,C00475145,H0PA10078
MARIO DIAZ-BALART FOR CONGRESS,C00376087,H2FL25018
MARK CRITZ FOR CONGRESS COMMITTEE,C00476861,H0PA12132
MARK GIBSON FOR CONGRESS,C00524645,H2VA11172
MARK MEMOLY ELECTION COMMITTEE,C00507210,S0MO00209
MARK MURPHY FOR CONGRESS,C00510198,H2NY13088
MARK POCAN FOR CONGRESS,C00502179,H2WI02124
MARK SULLIVAN FOR CONGRESS,C00517011,H2NE03023
MARK TAKANO FOR CONGRESS,C00498667,H2CA43245
"MARSHA BLACKBURN FOR CONGRESS, INC.",C00376939,H2TN06030
MARTHA ROBY FOR CONGRESS,C00462143,H0AL02087
MARTIN HEINRICH FOR SENATE,C00434563,S2NM00088
MARY BONO MACK COMMITTEE,C00332890,H8CA44034
MARY M HEADRICK FOR CONGRESS,C00510602,H2TN03144
MATHESON FOR CONGRESS,C00344721,H0UT02096
MATSUI FOR CONGRESS,C00409219,H6CA05195
MATT JETTE FOR CONGRESS,C00514067,H2AZ06171
MATT VARILEK FOR SOUTH DAKOTA,C00507350,H2SD00134
MAX MARTIN FOR CONGRESS COMMITTEE,C00509109,H2TX22118
MCALEER CONGRESSIONAL CAMPAIGN COMMITTE,C00518803,H2UT01235
MCCASKILL FOR MISSOURI,C00414961,S6MO00305
MCCASKILL FOR MISSOURI 2012,C00431304,S6MO00305
"MCCAUL FOR CONGRESS, INC",C00392688,H4TX10093
MCCLINTOCK FOR CONGRESS,C00446815,H8CA04152
MCCOLLUM FOR CONGRESS,C00354688,H0MN04049
MCDOWELL FOR CONGRESS,C00483784,H0MI01153
MCGOVERN FOR CONGRESS COMMITTEE,C00518118,H2TX32067
MCHENRY FOR CONGRESS,C00393629,H4NC10047
MCKINLEY FOR CONGRESS,C00473132,H0WV01072
MCNERNEY FOR CONGRESS,C00398644,H4CA11081
MCSALLY FOR CONGRESS,C00512236,H2AZ08102
MEADOWS FOR CONGRESS,C00503094,H2NC11080
MEEKS FOR CONGRESS,C00329375,H8NY06048
MEL WATT FOR CONGRESS COMMITTEE,C00260604,H2NC12021
MENENDEZ FOR SENATE,C00264564,S6NJ00289
"MESSINGER, LESLI RAE",C00524934,H2GA01231
MICA FOR CONGRESS,C00283051,H2FL08055
MICHAEL BAUMGARTNER FOR SENATE,C00503961,S2WA00288
MICHAEL BURGESS FOR CONGRESS,C00372532,H2TX26093
MICHAEL GRIMM FOR CONGRESS,C00470807,H0NY13074
MICHAUD FOR CONGRESS,C00367821,H2ME02097
MIKE HONDA FOR CONGRESS,C00351379,H0CA15148
MIKE KELLY FOR CONGRESS,C00474189,H0PA03271
MIKE KOFFENBERGER FOR CONGRESS,C00494922,H2PA19109
MIKE MADIGAN FOR CONGRESS,C00521997,H2NY26171
MIKE MCINTYRE FOR CONGRESS,C00306829,H8NC07044
MIKE O'BRIEN FOR CONGRESS,C00519892,H2MI06075
MIKE ROGERS FOR CONGRESS,C00367862,H2AL03032
MIKE THOMPSON FOR CONGRESS,C00326363,H8CA01109
MISSA EATON FOR CONGRESS,C00509869,H2PA03111
MOBROOKSFORCONGRESS.COM,C00464149,H0AL05163
MONTANANS FOR REHBERG,C00493015,S6MT00097
MONTANANS FOR TESTER,C00412304,S6MT00162
MOORE FOR CONGRESS,C00397505,H4WI04183
MOORE FOR CONGRESS,C00508853,H2KY04113
MORAN FOR CONGRESS,C00241349,H0VA08040
MORGAN GRIFFITH FOR CONGRESS,C00477240,H0VA09055
MUIR BODA FOR CONGRESS,C00521047,H2MD01170
MULLEN FOR CONGRESS,C00499814,H2IN02204
MULLIN FOR CONGRESS,C00498345,H2OK02083
MULVANEY FOR CONGRESS,C00471292,H0SC05031
NADLER FOR CONGRESS,C00290825,H2NY17071
NANCY JACOBS FOR CONGRESS,C00509216,H2MD02236
NANCY PELOSI FOR CONGRESS,C00213512,H8CA05035
NAPOLITANO FOR CONGRESS,C00334706,H8CA34068
NEBRASKANS FOR KERREY,C00515122,S8NE00067
NEIL BURNS FOR CONGRESS,C00505750,H2TX08083
NEUGEBAUER CONGRESSIONAL COMMITTEE,C00384016,H4TX19102
NEUHARDT FOR CONGRESS,C00443143,H8OH07099
NICK POPADITCH FOR CONGRESS,C00506857,H0CA51036
NICOLE LEFAVOUR FOR IDAHO,C00516575,H2ID02133
NITA LOWEY FOR CONGRESS,C00219881,H8NY20056
NOLAN FOR CONGRESS VOLUNTEER COMMITTEE,C00499053,H2MN08111
NUNNELEE FOR CONGRESS,C00464487,H0MS01043
O'DONNELL FOR CONGRESS,C00508044,H2MD05478
OBERMUELLER FOR CONGRESS,C00518811,H2MN02122
OCEGUERA FOR CONGRESS,C00499962,H2NV00035
OKLAHOMANS FOR NUTTLE INC,C00379974,H2OK04113
OLSON FOR CONGRESS COMMITTEE,C00437913,H8TX22107
OLSON FOR OKLAHOMA,C00509976,H2OK01150
OTERO FOR CONGRESS,C00504688,H2FL11091
OTTO FOR CONGRESS,C00513424,H2CA22140
PACE FOR CONGRESS,C00497065,H2CO03138
PALAZZO FOR CONGRESS,C00477323,H0MS04120
PALLONE FOR CONGRESS,C00226928,H8NJ03073
PAM GULLESON FOR NORTH DAKOTA,C00503284,H2ND00115
PARRY FOR CONGRESS,C00503706,H2MN01132
PASCRELL FOR CONGRESS,C00313510,H6NJ08118
PASTOR FOR ARIZONA,C00251918,H2AZ02055
PAT LANG FOR CONGRESS,C00507889,H2OH15087
PAT MEEHAN FOR CONGRESS,C00466870,H0PA07082
PATON FOR CONGRESS,C00474270,H0AZ08056
PATRIOTS FOR PERRY,C00510164,H2PA04135
PATSY KEEVER FOR CONGRESS,C00508069,H4NC11052
PAUL BROUN COMMITTEE,C00432955,H8GA10049
PAUL COOK FOR CONGRESS,C00512202,H2CA08164
PAUL ELLIOTT FOR CONGRESS,C00523266,H2FL12065
PAUL FORMICA FOR US CONGRESS,C00522714,H2CT02146
PAUL GOSAR FOR CONGRESS,C00461806,H0AZ01259
PAUL SADLER FOR SENATE,C00508861,S2TX00429
PAUL TONKO FOR CONGRESS,C00450049,H8NY21203
PELOQUIN FOR CONGRESS,C00506568,H2IL01166
PENNY H BAILEY FOR CONGRESS,C00511089,H2AL06142
PEOPLE FOR BEN,C00443689,H8NM03196
PEOPLE FOR DEREK KILMER,C00514893,H2WA06129
"PEOPLE FOR JON GOLNIK, THE",C00468975,H0MA05066
PEOPLE FOR PEARCE,C00463836,H2NM02126
PERKINS FOR CONGRESS,C00494849,H2VA11149
PERKINSON FOR CONGRESS 2012,C00510883,H2PA04143
PERLMUTTER FOR CONGRESS,C00410639,H6CO07023
PETE KING FOR CONGRESS COMMITTEE,C00272211,H2NY03089
PETE SESSIONS FOR CONGRESS,C00303305,H2TX03126
PETE STARK RE-ELECTION COMMITTEE,C00020974,H6CA09023
PETERS FOR CONGRESS,C00437889,H8MI09068
PETERSON FOR CONGRESS,C00253187,H2MN07014
PEYTON WILLIAMS FOR CONGRESS,C00512897,H2VA05042
PHILIP DODDS FOR CONGRESS,C00520551,H2FL03130
PICKERING FOR CONGRESS,C00308577,H6MS03046
PINGREE FOR CONGRESS,C00433391,H8ME01120
PIRTLE FOR CONGRESS COMMITTEE,C00496109,H2CO05067
PITTENGER FOR CONGRESS LLC,C00514513,H2NC09134
PLUMMER FOR CONGRESS,C00504340,H2IL12098
POE FOR CONGRESS,C00392670,H4TX02108
POLHEMUS FOR CONGRESS,C00512491,H2CO06149
POLIQUIN FOR US SENATE,C00518654,S2ME00158
POMPEO FOR CONGRESS INC,C00460402,H0KS04051
PORTER FOR CONGRESS,C00388637,H4PA03075
POSTMA FOR CONGRESS,C00452995,H8WA09047
POWELL FOR CONGRESS,C00497289,H2VA07113
PRICE FOR CONGRESS,C00195628,H6NC04037
PRICE FOR CONGRESS,C00386755,H4GA06087
PRINCELLA SMITH FOR CONGRESS,C00480905,H0AR01125
PRYCE FOR CONGRESS,C00265850,H2OH15046
QUIGLEY FOR CONGRESS,C00457556,H0IL05096
QUIST FOR CONGRESS,C00470914,H0MN01037
RAESE FOR SENATE COMMITTEE,C00182089,S4WV00084
RANDALL TERRY FOR US HOUSE,C00522979,H2FL20100
RANDY ALTSCHULER FOR CONGRESS,C00465245,H0NY01129
RANDY HULTGREN FOR CONGRESS,C00467522,H0IL14080
RANGEL FOR CONGRESS,C00302422,H6NY19029
RAUL LABRADOR FOR IDAHO,C00470948,H0ID01253
RAYE FOR CONGRESS,C00519231,H2ME02071
RE-ELECT MCGOVERN COMMITTEE,C00285171,H4MA03022
RE-ELECT TIM GRIFFIN FOR CONGRESS COMMITTEE,C00468116,H0AR02107
REDFIELD FOR CONGRESS,C00523993,H2VI00074
REESE FOR CONGRESS,C00505842,H2OH12100
RENEE ELLMERS FOR CONGRESS COMMITTEE,C00471896,H0NC02059
RESKE FOR CONGRESS,C00503516,H2IN05090
REX BELL FOR CONGRESS,C00531608,H2IN06270
RIBBLE FOR CONGRESS,C00463620,H0WI08075
RICH COWAN FOR CONGRESS,C00510313,H2WA05071
RICHARD E NEAL FOR CONGRESS COMMITTEE,C00226522,H8MA02041
RICHARD H GILLMOR FOR CONGRESS COMMITTEE,C00524223,H2FL08071
RICHARD HANNA FOR CONGRESS COMMITTEE,C00451005,H8NY24066
RICHARDSON FOR CONGRESS,C00434571,H8CA37137
RICHMOND FOR CONGRESS,C00451336,H8LA02054
RICKY GILL FOR CONGRESS,C00493403,H2CA11135
RILEY FOR CONGRESS,C00505990,H2RI02135
ROB BISHOP FOR CONGRESS,C00374231,H2UT01094
ROB WALLACE FOR CONGRESS 2012,C00504290,H2OK02158
ROB WITTMAN FOR CONGRESS,C00441014,H8VA01147
ROB WOODALL FOR CONGRESS,C00482307,H0GA07133
ROB ZERBAN FOR CONGRESS,C00495523,H2WI01084
ROBERT ADERHOLT FOR CONGRESS,C00313247,H6AL04098
ROBERT HURT FOR CONGRESS,C00468405,H0VA05095
RODNEY ALEXANDER FOR CONGRESS INC.,C00376749,H2LA05084
RODNEY FOR CONGRESS,C00521948,H2IL13120
ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,C00498121,H2TX33040
ROGERS FOR CONGRESS,C00343863,H0MI08042
ROHL FOR CONGRESS,C00521500,H2IL16057
RON BARBER FOR CONGRESS,C00512129,H2AZ08094
RON BEMIS FOR CONGRESS,C00524942,H2WA07101
RON DESANTIS FOR CONGRESS,C00511568,H2FL00292
RON RICHARD FOR CONGRESS,C00528059,H2LA03055
RONALD GREEN FOR CONGRESS,C00525485,H2OR03105
RORABACK FOR CONGRESS,C00504985,H2CT05206
ROS-LEHTINEN FOR CONGRESS,C00280537,H0FL18025
ROSE MEZA HARRISON FOR CONGRESS,C00504498,H2TX27133
ROSKAM FOR CONGRESS COMMITTEE,C00410969,H6IL06117
ROTHFUS FOR CONGRESS,C00497115,H0PA04220
ROYCE CAMPAIGN COMMITTEE,C00200865,H6CA39020
RUBEN HINOJOSA FOR CONGRESS,C00310896,H6TX15055
RUPERT FOR SENATE,C00506899,S2OH00204
RUSH HOLT FOR CONGRESS,C00313684,H6NJ12144
RYAN FOR CONGRESS,C00330894,H8WI01024
SALMON FOR CONGRESS,C00495630,H4AZ01038
SANCHEZ FOR CONGRESS,C00504829,H2TX26168
SANFORD BISHOP FOR CONGRESS,C00266940,H2GA02031
SAUCEDO MERCER FOR CONGRESS,C00492470,H2AZ07146
SCALISE FOR CONGRESS,C00394957,H0LA01087
SCHAKOWSKY FOR CONGRESS,C00327023,H8IL09067
SCHAUER FOR CONGRESS,C00438341,H8MI07096
SCHIFF FOR CONGRESS,C00343871,H0CA27085
SCHNEIDER FOR CONGRESS,C00495952,H2IL10068
SCHOCK FOR CONGRESS,C00437756,H8IL18043
SCHWEIKERT FOR CONGRESS,C00492413,H4AZ06045
SCOLLO FOR CONGRESS,C00512228,H2PA10090
SCOTT BROWN FOR US SENATE COMMITTEE INC,C00467233,S0MA00109
SCOTT ELLINGTON FOR CONGRESS,C00514760,H2AR01071
SCOTT GARRETT FOR CONGRESS,C00386110,H8NJ05052
SCOTT PETERS FOR CONGRESS,C00503110,H2CA52089
SCOTT RIGELL FOR CONGRESS,C00463687,H0VA02084
SEAN PATRICK MALONEY FOR CONGRESS,C00512426,H2NY22139
SEAN SEIBERT FOR CONGRESS,C00521179,H2TX18140
SEEGMILLER CONGRESSIONAL CAMPAIGN COMMITTEE,C00514208,H2UT02357
SENSENBRENNER COMMITTEE,C00083428,H8WI09050
SERRANO FOR CONGRESS,C00240986,H0NY18065
SETH HOLLIST FOR US CONGRESS,C00519652,H2TX32075
SHAFFER FOR COLORADO,C00498600,H2CO04094
SHANNON ROBERTS FOR CONGRESS,C00468488,H0FL15054
SHELDON FOR CONGRESS,C00509588,H2MA09189
SHELLEY ADLER FOR CONGRESS,C00512475,H2NJ03183
SHELLEY MOORE CAPITO FOR CONGRESS,C00347849,H0WV02138
SHELLI YODER FOR CONGRESS,C00513457,H2IN09167
SHERMAN FOR CONGRESS,C00308742,H6CA24113
SHMULEY FOR CONGRESS,C00512814,H2NJ09107
SIMON FOR CONGRESS,C00528000,H2TX35086
SIMPSON FOR CONGRESS,C00331397,H8ID02064
SIMS FOR CONGRESS,C00500967,H2IL01133
SIRES FOR  CONGRESS,C00410753,H6NJ13191
SLEZAK FOR CONGRESS,C00503276,H2MI05127
SNOW FOR CONGRESS,C00505891,H2FL09103
SNUFFER U.S. CONGRESS,C00514059,H4WV03047
SOBHANI FOR MARYLAND,C00519058,S2MD00198
SOUTHERLAND FOR CONGRESS,C00468959,H0FL02110
SPIRIT OF 1854 COMMITTEE TO ELECT DAVE ANDERSON,C00492496,H2CO05059
STAATS FOR CONGRESS,C00521922,H2TN05271
STABENOW FOR US SENATE,C00344473,S8MI00281
STEPHEN LYNCH FOR CONGRESS,C00366948,H2MA09072
STEPP COMMITTEE,C00514448,H6KY05111
STEVE CHABOT FOR CONGRESS,C00301838,H8OH01043
STEVE COHEN FOR CONGRESS,C00422980,H6TN09068
STEVE DAINES FOR MONTANA,C00491357,H2MT01060
STEVE FINCHER FOR CONGRESS,C00466854,H0TN08246
STEVE ISRAEL FOR CONGRESS COMMITTEE,C00358952,H0NY02085
"STEVE OBSITNIK FOR CONGRESS, INC",C00504357,H2CT04068
STEVE PESTKA FOR CONGRESS,C00516211,H2MI03148
STEVE REILLY FOR CONGRESS,C00521732,H2GA07097
STEVEN WATTS FOR US SENATE,C00531699,S2AZ00307
STIVERS FOR CONGRESS,C00441352,H8OH15076
STRADER FOR CONGRESS,C00510446,H2PA16063
STRICKLAND FOR CONGRESS 2012,C00510545,H2CA26109
STUTZMAN FOR CONGRESS,C00484683,H0IN03198
SUKHEE KANG FOR CONGRESS,C00498469,H2CA48087
SUSAN DAVIS FOR CONGRESS,C00344671,H0CA49055
SUSAN NARVAIZ FOR CONGRESS,C00504332,H2TX35029
SWALWELL FOR CONGRESS,C00502294,H2CA15094
TAJ FOR CONGRESS,C00503169,H2MI11117
